

[2026-08-31 16:50:09] Startup - updater built Dec  2 2013 18:43:44
[2026-08-31 16:50:09] Checking for update on startup
[2026-08-31 16:50:09] Checking for available update...
[2026-08-31 16:50:10] Download failed: http error 0
[2026-08-31 16:50:10] Package file steamcmd_public_all.zip.ea97f8fd711e4ae492274da96e83bf31eb804528 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_bins_win32.zip.7ae579f513787b332395a86b4515b400c2f57eaa missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_steamservice_win32.zip.27fe69fc971de8c9fe785daa7a934921369d725b missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_steamerrorreporter_win32.zip.e8bd4e7243ba4a8745195d2435b4ed2a9a7d8aa2 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_siteserverui_win32.zip.4760659039c6d35313324e11ff600d519924b220 missing or incorrect size
[2026-08-31 16:50:10] Package file steamcmd_win32.zip.ae4a6f47ec93a6d7c6216d3a0638060ffd31dc62 missing or incorrect size
[2026-08-31 16:50:10] Downloading update (0 of 43,472 KB)...
[2026-08-31 16:50:11] Error: Download of package (steamcmd_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_siteserverui_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_steamerrorreporter_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_steamservice_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_bins_win32) failed after 0 bytes (0).
[2026-08-31 16:50:11] Error: Download of package (steamcmd_public_all) failed after 0 bytes (0).
[2026-08-31 16:50:11] Package file steamcmd_public_all.zip.ea97f8fd711e4ae492274da96e83bf31eb804528 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_bins_win32.zip.7ae579f513787b332395a86b4515b400c2f57eaa missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_steamservice_win32.zip.27fe69fc971de8c9fe785daa7a934921369d725b missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_steamerrorreporter_win32.zip.e8bd4e7243ba4a8745195d2435b4ed2a9a7d8aa2 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_siteserverui_win32.zip.4760659039c6d35313324e11ff600d519924b220 missing or incorrect size
[2026-08-31 16:50:11] Package file steamcmd_win32.zip.ae4a6f47ec93a6d7c6216d3a0638060ffd31dc62 missing or incorrect size
[2026-08-31 16:50:11] Downloading update (15 of 43,472 KB)...
[2026-08-31 16:50:11] Downloading update (115 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (261 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (377 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (470 of 43,472 KB)...
[2026-08-31 16:50:12] Downloading update (1,016 of 43,472 KB)...
[2026-08-31 16:50:13] Downloading update (1,240 of 43,472 KB)...
[2026-08-31 16:50:13] Downloading update (1,430 of 43,472 KB)...
[2026-08-31 16:50:13] Downloading update (2,020 of 43,472 KB)...
[2026-08-31 16:50:14] Downloading update (2,200 of 43,472 KB)...
[2026-08-31 16:50:14] Downloading update (2,356 of 43,472 KB)...
[2026-08-31 16:50:14] Downloading update (2,986 of 43,472 KB)...
[2026-08-31 16:50:14] Downloading update (3,541 of 43,472 KB)...
[2026-08-31 16:50:15] Downloading update (3,778 of 43,472 KB)...
[2026-08-31 16:50:15] Downloading update (4,131 of 43,472 KB)...
[2026-08-31 16:50:15] Downloading update (4,661 of 43,472 KB)...
[2026-08-31 16:50:15] Downloading update (5,012 of 43,472 KB)...
[2026-08-31 16:50:16] Downloading update (5,317 of 43,472 KB)...
[2026-08-31 16:50:16] Downloading update (5,668 of 43,472 KB)...
[2026-08-31 16:50:16] Downloading update (6,073 of 43,472 KB)...
[2026-08-31 16:50:16] Downloading update (6,076 of 43,472 KB)...
[2026-08-31 16:50:17] Downloading update (6,082 of 43,472 KB)...
[2026-08-31 16:50:17] Downloading update (6,089 of 43,472 KB)...
[2026-08-31 16:50:17] Downloading update (6,092 of 43,472 KB)...
[2026-08-31 16:50:17] Downloading update (6,095 of 43,472 KB)...
[2026-08-31 16:50:18] Downloading update (6,104 of 43,472 KB)...
[2026-08-31 16:50:19] Downloading update (6,131 of 43,472 KB)...
[2026-08-31 16:50:19] Downloading update (6,344 of 43,472 KB)...
[2026-08-31 16:50:19] Downloading update (6,546 of 43,472 KB)...
[2026-08-31 16:50:20] Downloading update (6,583 of 43,472 KB)...
[2026-08-31 16:50:20] Downloading update (6,586 of 43,472 KB)...
[2026-08-31 16:50:21] Downloading update (6,589 of 43,472 KB)...
[2026-08-31 16:50:21] Downloading update (6,590 of 43,472 KB)...
[2026-08-31 16:50:22] Downloading update (6,628 of 43,472 KB)...
[2026-08-31 16:50:22] Downloading update (6,849 of 43,472 KB)...
[2026-08-31 16:50:22] Downloading update (6,990 of 43,472 KB)...
[2026-08-31 16:50:24] Downloading update (6,991 of 43,472 KB)...
[2026-08-31 16:50:24] Downloading update (7,335 of 43,472 KB)...
[2026-08-31 16:50:24] Downloading update (7,576 of 43,472 KB)...
[2026-08-31 16:50:25] Downloading update (7,938 of 43,472 KB)...
[2026-08-31 16:50:25] Downloading update (8,094 of 43,472 KB)...
[2026-08-31 16:50:25] Downloading update (8,416 of 43,472 KB)...
[2026-08-31 16:50:25] Downloading update (8,691 of 43,472 KB)...
[2026-08-31 16:50:26] Downloading update (8,882 of 43,472 KB)...
[2026-08-31 16:50:26] Downloading update (9,252 of 43,472 KB)...
